Store,prev_7d_actual,forecast_7d_total,pct_change,StoreType,CompetitionDistance,health_tier
124,27248.0,22045.457763671875,-19.093299458045085,a,1410.0,Monitor
125,81756.0,66972.94140625,-18.081924988685845,a,760.0,Performing Well
126,39858.0,26983.2890625,-32.301447482312206,d,3370.0,Performing Well
127,42505.0,29495.82275390625,-30.60622808162275,d,1350.0,Performing Well
128,58031.0,46015.51513671875,-20.70528659385716,d,2000.0,Performing Well
129,58293.0,45126.740234375,-22.586347873029354,a,2460.0,Performing Well
130,32203.0,27708.7119140625,-13.956116156685713,c,900.0,Performing Well
131,28413.0,24317.323974609375,-14.414796133427041,c,920.0,Performing Well
132,53887.0,42257.86767578125,-21.580589612000576,d,1040.0,Performing Well
133,40343.0,29600.43359375,-26.628080227672708,a,270.0,Performing Well
134,27389.0,22541.15869140625,-17.699957313497208,a,1200.0,Monitor
135,42792.0,34057.16650390625,-20.412304860940715,d,5190.0,Performing Well
136,46132.0,31681.05908203125,-31.325199249910586,a,2200.0,Performing Well
137,46809.0,37683.2919921875,-19.495626926045205,a,1730.0,Performing Well
138,53944.0,39150.26513671875,-27.424245260420527,a,25360.0,Performing Well
139,48053.0,35000.51416015625,-27.16268669977681,a,1700.0,Performing Well
140,51977.0,41615.7431640625,-19.93431101436693,a,1090.0,Performing Well
141,42120.0,30211.3544921875,-28.273137482935663,c,1540.0,Performing Well
142,26781.0,22143.9140625,-17.314834910944327,a,1090.0,Performing Well
143,45294.0,33452.9677734375,-26.14260658489535,d,2930.0,Performing Well
144,52052.0,40803.74951171875,-21.609641297704698,a,16570.0,Performing Well
145,58069.0,43403.36669921875,-25.255529285472882,a,280.0,Performing Well
146,53656.0,42643.8310546875,-20.52364869783901,d,8050.0,Performing Well
147,53650.0,43213.99755859375,-19.452008278483223,d,8540.0,Performing Well
148,53728.0,45477.12451171875,-15.3567515788439,a,2090.0,Performing Well
149,43075.0,30983.7177734375,-28.070301164393502,d,2610.0,Performing Well
150,65219.0,47055.46484375,-27.8500669379322,c,31830.0,Performing Well
151,48127.0,36461.61962890625,-24.238744096024583,d,4360.0,Performing Well
152,36908.0,25943.0458984375,-29.708881818474314,a,1780.0,Performing Well
153,42365.0,28885.56787109375,-31.817377856500055,a,16240.0,Performing Well
154,60804.0,46837.96484375,-22.968941445052955,d,16420.0,Performing Well
155,48686.0,37080.20556640625,-23.838052897329316,d,3050.0,Performing Well
156,47471.0,32336.984619140625,-31.880548926416918,a,2020.0,Performing Well
157,61052.0,47584.908203125,-22.058395788631003,a,2950.0,Performing Well
158,58568.0,47387.71923828125,-19.089401655714298,d,11840.0,Performing Well
159,56474.0,42101.6787109375,-25.449448045228777,d,8530.0,Performing Well
160,37945.0,30294.7431640625,-20.16143585699697,d,17110.0,Performing Well
161,45331.0,37290.546875,-17.73720660254572,a,2970.0,Performing Well
162,57573.0,42633.70703125,-25.94843584449308,d,5340.0,Performing Well
163,38396.0,33777.24267578125,-12.029266913789847,a,1480.0,Performing Well
164,48881.0,34240.93701171875,-29.950416293204412,a,1160.0,Performing Well
165,28209.0,21639.44482421875,-23.288862333940408,a,3720.0,Performing Well
166,35583.0,28750.41064453125,-19.201836144981453,a,100.0,Performing Well
167,66013.0,46954.46435546875,-28.870882469409437,a,140.0,Performing Well
168,57313.0,41547.35888671875,-27.507966976569453,a,12540.0,Performing Well
169,39763.0,29314.501953125,-26.276935962766895,d,980.0,Performing Well
170,28128.0,21549.1962890625,-23.388807277223762,a,1070.0,Performing Well
171,50559.0,39235.4345703125,-22.396735358071755,a,2640.0,Performing Well
172,45890.0,39064.69775390625,-14.873179878173348,a,110.0,Performing Well
173,53931.0,42542.39501953125,-21.1169920462605,a,350.0,Performing Well
174,40393.0,33283.248046875,-17.601445679016166,a,13090.0,Performing Well
175,38507.0,31779.654296875,-17.470448757693408,c,4130.0,Performing Well
176,32439.0,24163.5263671875,-25.510877748427816,a,3770.0,Performing Well
177,23524.0,16995.096069335938,-27.754225177113,a,1250.0,Performing Well
178,68581.0,51204.38818359375,-25.337355559712236,d,1710.0,Performing Well
179,49293.0,36659.54833984375,-25.629301645581016,a,480.0,Performing Well
180,48995.0,39535.14453125,-19.30779767068068,d,5800.0,Performing Well
181,45107.0,31005.373779296875,-31.262611613947115,a,12610.0,Performing Well
182,39584.0,29720.44287109375,-24.91804044287149,d,1390.0,Performing Well
183,34145.0,25724.399169921875,-24.661299839151045,a,9670.0,Monitor
184,41714.0,32605.6591796875,-21.83521316659275,d,3560.0,Performing Well
185,43260.0,32444.7060546875,-25.000679485234627,d,1860.0,Performing Well
186,28592.0,21280.350830078125,-25.57235999552978,a,290.0,Performing Well
187,41288.0,32259.166015625,-21.867937377385683,a,19360.0,Performing Well
188,47271.0,31635.8935546875,-33.07547216118233,d,850.0,Performing Well
189,57440.0,46285.38671875,-19.419591367078688,d,5760.0,Performing Well
190,56098.0,43466.23583984375,-22.51731641084575,a,1470.0,Performing Well
191,48474.0,37372.34765625,-22.902282344658992,a,1100.0,Performing Well
192,94826.0,73833.03125,-22.13841008795056,d,2770.0,Performing Well
193,39870.0,27974.31982421875,-29.836167985405694,a,520.0,Performing Well
194,37894.0,27963.55615234375,-26.20584748946073,d,16970.0,Performing Well
195,68506.0,53645.326171875,-21.692514273384813,a,220.0,Performing Well
196,34392.0,26446.086181640625,-23.103959695159848,c,3850.0,Performing Well
197,47223.0,35459.90869140625,-24.90966543547371,c,4210.0,Performing Well
198,20232.0,13831.490234375,-31.6355761448448,a,290.0,Performing Well
199,58912.0,46718.64794921875,-20.6975693420377,d,6360.0,Performing Well
200,45787.0,37084.77685546875,-19.00588189776847,a,1650.0,Monitor
201,37024.0,30352.83349609375,-18.01849206975543,d,20260.0,Performing Well
202,44473.0,36916.98046875,-16.990127788208575,d,5140.0,Performing Well
203,45972.0,36324.25048828125,-20.986142677540133,c,490.0,Performing Well
204,38800.0,31581.13525390625,-18.6053215105509,a,5630.0,Performing Well
205,43412.0,34491.64453125,-20.54813293271446,a,110.0,Performing Well
206,48132.0,36863.43701171875,-23.41179046846433,a,380.0,Monitor
207,76393.0,58432.4111328125,-23.510778300613275,a,6870.0,Performing Well
208,20805.0,15872.410888671875,-23.70867152765261,c,300.0,Performing Well
209,51350.0,43105.78125,-16.054953748782864,a,11680.0,Monitor
210,22441.0,15741.26416015625,-29.854889888346108,d,970.0,Performing Well
211,92531.0,73036.634765625,-21.067928839388962,a,350.0,Performing Well
212,29634.0,23561.232666015625,-20.49256709855023,a,15050.0,Performing Well
213,58209.0,45616.26025390625,-21.63366446098327,d,4030.0,Performing Well
214,60399.0,48421.0146484375,-19.831429910366893,d,8650.0,Performing Well
215,52746.0,35418.4140625,-32.85099521764683,d,150.0,Performing Well
216,46115.0,35345.5849609375,-23.353388353166,c,190.0,Performing Well
217,31506.0,25696.051513671875,-18.44076838166738,c,3150.0,Monitor
218,33465.0,24283.208251953125,-27.43699909770469,a,640.0,Performing Well
219,19879.0,15562.656982421875,-21.71307921715441,a,1640.0,Monitor
220,30279.0,23385.518310546875,-22.76654344414652,a,1000.0,Monitor
221,42697.0,33747.27001953125,-20.961027661120806,d,13530.0,Performing Well
222,31531.0,23615.741943359375,-25.103098717581506,a,2170.0,Performing Well
223,48389.0,36888.82470703125,-23.766094139099277,d,2920.0,Performing Well
224,55609.0,41780.41650390625,-24.867527731291247,d,7930.0,Performing Well
225,41652.0,29295.1123046875,-29.66697324333165,d,10180.0,Monitor
226,45245.0,35717.9716796875,-21.05653292145541,a,450.0,Performing Well
227,38037.0,29167.2802734375,-23.318662687810555,a,2370.0,Performing Well
228,53443.0,44104.90283203125,-17.47300332685057,d,10800.0,Performing Well
229,64906.0,47894.07861328125,-26.21009057208694,d,17410.0,Performing Well
230,47712.0,41007.93212890625,-14.051114753298435,d,6680.0,Performing Well
231,42089.0,28528.912109375,-32.217652808631705,d,3840.0,Performing Well
232,27600.0,21001.58251953125,-23.907309711843297,c,13570.0,Monitor
233,68973.0,53646.58984375,-22.220883760674468,a,1890.0,Performing Well
234,67990.0,50614.96826171875,-25.555275390912268,d,4370.0,Performing Well
235,38005.0,27243.255126953125,-28.316655369153732,a,5710.0,Performing Well
236,48412.0,37603.765625,-22.325527503511523,a,1000.0,Performing Well
237,26972.0,23666.195068359375,-12.256432343321315,a,1420.0,Monitor
238,48532.0,36194.0166015625,-25.42236750687691,a,320.0,Monitor
239,35042.0,26020.178955078125,-25.74573667291215,d,610.0,Performing Well
240,28790.0,23111.6669921875,-19.723282416854808,a,1110.0,Monitor
241,41819.0,34990.431640625,-16.32886572939334,d,780.0,Performing Well
242,29145.0,20374.73876953125,-30.091821000064336,d,6880.0,Performing Well
243,56628.0,35946.35791015625,-36.52193630331947,a,310.0,Performing Well
244,37778.0,25835.207275390625,-31.613088899913638,d,710.0,Performing Well
245,60704.0,53056.5751953125,-12.597892733077721,a,1310.0,Performing Well
246,47141.0,38012.93896484375,-19.363316508254492,c,4660.0,Monitor
247,60660.0,44082.69775390625,-27.328226584394578,d,70.0,Performing Well
248,51460.0,43616.70849609375,-15.241530322398464,a,340.0,Performing Well
249,35399.0,28088.64404296875,-20.651306412698805,d,18010.0,Performing Well
250,69202.0,48810.24365234375,-29.46700434619845,d,3520.0,Performing Well
251,116340.0,101367.0322265625,-12.870008400754255,a,340.0,Performing Well
252,75223.0,53252.7216796875,-29.206862688688968,d,22330.0,Performing Well
253,41732.0,28386.904296875,-31.978088045444743,a,250.0,Performing Well
254,23288.0,16718.6083984375,-28.20934215717322,d,330.0,Monitor
255,45754.0,33910.54931640625,-25.885060723857478,c,4630.0,Performing Well
256,56571.0,41262.33837890625,-27.060970499184656,a,80.0,Performing Well
257,32258.0,24799.005859375,-23.122928081793663,a,420.0,Performing Well
258,39387.0,32088.9951171875,-18.528968651617284,a,27190.0,Performing Well
259,88404.0,85322.3828125,-3.48583456348129,b,210.0,Monitor
260,37815.0,34023.56396484375,-10.026275380553352,a,540.0,Performing Well
261,82828.0,59211.5908203125,-28.512591369690803,d,15340.0,Performing Well
262,163360.0,140394.15625,-14.05842541013712,b,1180.0,Monitor
263,28907.0,24250.650634765625,-16.108033919930726,a,1140.0,Performing Well
264,45558.0,34989.5615234375,-23.197766531811098,a,180.0,Performing Well
265,37894.0,26659.034423828125,-29.648402322720948,a,4580.0,Performing Well
266,26980.0,21381.982177734375,-20.74876880009498,a,360.0,Performing Well
267,74791.0,55254.42578125,-26.12155769912155,c,2460.0,Performing Well
268,31356.0,23409.88330078125,-25.34161468050373,a,4520.0,Monitor
269,53025.0,37741.9619140625,-28.82232548031589,a,60.0,Performing Well
270,61743.0,52836.1962890625,-14.425608912650018,a,1450.0,Performing Well
271,57578.0,37671.182861328125,-34.57365163547166,a,420.0,Performing Well
272,45359.0,31800.14599609375,-29.892312449362308,a,16180.0,Performing Well
273,51339.0,38089.39599609375,-25.808067948160758,a,8480.0,Performing Well
274,41999.0,41241.15234375,-1.8044421444558205,b,3640.0,Monitor
275,48506.0,36391.7841796875,-24.97467492745743,d,300.0,Performing Well
276,24983.0,18224.46923828125,-27.05251875963155,a,2960.0,Performing Well
277,46907.0,32995.41455078125,-29.65780256511555,d,7840.0,Performing Well
278,45378.0,36421.1611328125,-19.738284779380976,a,9260.0,Performing Well
279,77923.0,54541.6728515625,-30.005681439931088,d,2320.0,Monitor
280,45712.0,35780.4931640625,-21.726257516489106,d,18640.0,Performing Well
281,40662.0,32763.89892578125,-19.42378897796161,d,6970.0,Performing Well
282,26676.0,21883.779296875,-17.964540047702055,a,1220.0,Performing Well
283,52149.0,42425.37841796875,-18.64584475643109,a,2260.0,Performing Well
284,41829.0,29456.0615234375,-29.579809406303042,d,1290.0,Performing Well
285,37371.0,31288.48828125,-16.276020761419282,a,2410.0,Performing Well
286,25804.0,18022.618896484375,-30.15571656919712,a,1460.0,Performing Well
287,58071.0,47767.3935546875,-17.743118674230683,c,2740.0,Performing Well
288,39818.0,28588.921875,-28.20100990757949,d,800.0,Performing Well
289,40720.0,32591.12890625,-19.962846497421417,d,6540.0,Performing Well
290,43117.0,32761.66796875,-24.016819424472946,a,4150.0,Performing Well
291,53484.0,39477.10546875,-26.188943480760603,d,,Performing Well
292,0.0,20374.8701171875,,a,1100.0,Needs Attention
293,39737.0,29922.5517578125,-24.698513330617562,c,140.0,Performing Well
294,43219.0,33383.90869140625,-22.756406461495523,a,3150.0,Monitor
295,44830.0,34167.98095703125,-23.783223383825007,a,210.0,Performing Well
296,49077.0,36390.5966796875,-25.849997596251807,a,9580.0,Performing Well
297,52904.0,37171.84423828125,-29.737176322619746,a,2300.0,Performing Well
298,57479.0,46198.11181640625,-19.62610376588624,d,19840.0,Performing Well
299,70096.0,61024.1171875,-12.942083446273681,d,38630.0,Monitor
300,51235.0,43854.71337890625,-14.404775292463649,a,120.0,Performing Well
301,33681.0,28549.5419921875,-15.235468091245806,a,4510.0,Performing Well
302,28069.0,21373.173583984375,-23.854880530177866,d,2190.0,Performing Well
303,41750.0,31561.9423828125,-24.40253321482036,a,15430.0,Performing Well
304,45179.0,34808.36376953125,-22.954550190284756,a,1950.0,Performing Well
305,41402.0,33852.88525390625,-18.233695826515024,c,2470.0,Performing Well
306,32527.0,24908.552001953125,-23.421920244863884,a,5100.0,Performing Well
307,19103.0,13600.478149414062,-28.80449065898517,a,18660.0,Performing Well
308,56290.0,44720.93994140625,-20.552602697803785,a,1070.0,Performing Well
309,47429.0,33892.61962890625,-28.540303129085054,d,8740.0,Performing Well
310,69943.0,54469.6875,-22.122746379194485,a,2290.0,Monitor
311,47036.0,37205.77587890625,-20.899362448111553,a,680.0,Performing Well
312,38337.0,29467.267578125,-23.136219375211937,d,11300.0,Performing Well
313,51218.0,36086.62451171875,-29.54308151095562,d,14160.0,Performing Well
314,34339.0,25043.6171875,-27.06946274643991,a,3560.0,Performing Well
315,28692.0,22954.4814453125,-19.99692790564443,a,38710.0,Performing Well
316,65476.0,49510.57470703125,-24.38362956345646,d,9000.0,Performing Well
317,39561.0,31025.02734375,-21.576736321756275,d,3140.0,Performing Well
318,48890.0,37641.740234375,-23.007281173297198,d,32330.0,Performing Well
319,48207.0,39280.09228515625,-18.517866108332296,a,570.0,Monitor
320,102752.0,81494.4921875,-20.68816939086344,a,210.0,Performing Well
321,42964.0,32964.376953125,-23.274422881656736,c,8140.0,Performing Well
322,35874.0,24271.24169921875,-32.34308496621857,a,17500.0,Performing Well
323,53248.0,43073.380859375,-19.10798366253193,d,8400.0,Performing Well
324,37663.0,25317.385986328125,-32.77915729939696,a,13140.0,Performing Well
325,41304.0,31156.7578125,-24.56721428312028,a,350.0,Performing Well
326,39488.0,30961.24951171875,-21.593270077697653,d,10070.0,Performing Well
327,55404.0,40629.6474609375,-26.666581003289476,c,1390.0,Performing Well
328,28537.0,22389.64013671875,-21.54171729081981,a,3130.0,Performing Well
329,44357.0,32952.6298828125,-25.710418011108732,a,1310.0,Performing Well
330,26190.0,20264.62255859375,-22.62457976863784,a,370.0,Performing Well
331,37460.0,29457.44677734375,-21.362929051404834,a,670.0,Performing Well
332,23453.0,17789.79150390625,-24.147053665176095,a,1840.0,Performing Well
333,66268.0,53891.8330078125,-18.67593256502007,a,3720.0,Performing Well
334,33193.0,26460.274658203125,-20.283569854477978,d,4040.0,Performing Well
335,102505.0,78242.8203125,-23.66926460904346,b,90.0,Monitor
336,95311.0,73485.28515625,-22.899471040855726,a,190.0,Performing Well
337,38595.0,30980.37451171875,-19.729564680091332,d,10600.0,Performing Well
338,46243.0,36018.078125,-22.11128576216941,a,1590.0,Performing Well
339,36669.0,29089.56689453125,-20.669865841633943,a,2280.0,Performing Well
340,42047.0,33399.203125,-20.56697713273242,a,8080.0,Performing Well
341,35509.0,27465.49169921875,-22.652027093923373,a,190.0,Performing Well
342,82373.0,65085.658203125,-20.98666043105751,d,15770.0,Performing Well
343,48929.0,37912.82666015625,-22.514609617698607,d,18650.0,Performing Well
344,63826.0,50084.14404296875,-21.530185123666296,a,300.0,Performing Well
345,33526.0,23655.16845703125,-29.44231803068887,a,120.0,Monitor
346,47177.0,39518.58984375,-16.23335556786146,a,8090.0,Performing Well
347,37610.0,29651.5888671875,-21.160359300219355,d,9360.0,Monitor
348,61647.0,49460.6708984375,-19.767919122686425,a,16490.0,Performing Well
349,52565.0,46395.05908203125,-11.737735980155522,c,1490.0,Performing Well
350,49421.0,37945.35888671875,-23.22017181619403,d,8880.0,Performing Well
351,43230.0,32347.20654296875,-25.17416945878152,a,5290.0,Performing Well
352,43392.0,35789.76513671875,-17.51989966648518,d,6360.0,Performing Well
353,49346.0,46948.1640625,-4.859230611397074,b,900.0,Monitor
354,52558.0,44460.29052734375,-15.407187245816525,d,1500.0,Performing Well
355,59928.0,47932.13427734375,-20.017130093873064,a,9720.0,Performing Well
356,45330.0,36632.13916015625,-19.187868607641185,d,8970.0,Performing Well
357,54693.0,42518.89501953125,-22.258981918104237,a,2060.0,Performing Well
358,66333.0,50167.36962890625,-24.370419506269503,a,2890.0,Performing Well
359,45525.0,37112.81396484375,-18.478168116762767,d,4370.0,Performing Well
360,45935.0,35110.15625,-23.56556819418744,a,2040.0,Performing Well
361,48414.0,32958.69287109375,-31.923218756777484,c,4490.0,Performing Well
362,65232.0,49903.41796875,-23.498562103338852,c,340.0,Performing Well
363,47135.0,39196.79052734375,-16.841433059629257,a,250.0,Performing Well
364,37309.0,28311.00732421875,-24.117485528374523,a,13620.0,Monitor
365,44288.0,31053.7421875,-29.882265653224348,c,2410.0,Performing Well
366,43066.0,29976.798828125,-30.393352463370178,d,6470.0,Performing Well
367,36680.0,27154.88720703125,-25.968137385410987,d,2640.0,Performing Well
368,83354.0,55752.248046875,-33.113890099005445,d,1450.0,Performing Well
369,45839.0,36604.69775390625,-20.14507787275846,d,5870.0,Performing Well
370,51932.0,40862.6826171875,-21.31502230380594,d,8250.0,Performing Well
371,50324.0,35239.1494140625,-29.975460189844803,d,1970.0,Performing Well
372,60538.0,46179.7666015625,-23.71772010710215,d,4880.0,Performing Well
373,32070.0,25714.75048828125,-19.81680546217259,d,11120.0,Performing Well
374,45099.0,35129.9326171875,-22.104852397641856,a,1150.0,Performing Well
375,67011.0,45511.3408203125,-32.08377606614959,a,15710.0,Performing Well
376,55346.0,42192.48828125,-23.76596631870415,a,160.0,Performing Well
377,58334.0,45448.45947265625,-22.089245598353877,a,100.0,Performing Well
378,44551.0,35871.23779296875,-19.482755060562614,a,2140.0,Performing Well
379,26982.0,21771.135009765625,-19.312374880417966,d,6630.0,Monitor
380,90269.0,73621.10546875,-18.44253789368443,a,2240.0,Performing Well
381,59265.0,45024.9072265625,-24.02782885925504,a,1800.0,Performing Well
382,56013.0,40769.916015625,-27.21347541530538,c,26130.0,Performing Well
